Date ,Hour,Year,Whale ,Boat,RMS (mean),Max,Min,Peak dB,SEL dB
9/4/19,1,2019,1,0,108.6,121.5,103.4,153.5,125.9
9/4/19,2,2019,1,0,109.1,126.3,103.7,156.7,127.1
9/4/19,3,2019,1,0,101.93,108,122.7,151.2,125.8
9/4/19,4,2019,1,0,109.1,126.3,104.2,155.7,126.9
9/4/19,5,2019,1,0,109.3,127.1,104.8,158,127.2
9/4/19,6,2019,1,0,109.8,123.9,103.7,156.4,127.6
9/4/19,7,2019,1,0,107.7,117.3,103,148,125.6
9/4/19,8,2019,1,1,110.2,124.5,103.2,153.8,127.9
9/4/19,9,2019,1,0,109.2,120.5,103.2,146.7,127.1
9/4/19,10,2019,1,1,112.8,120.9,105.2,153.6,130.9
9/4/19,11,2019,1,1,112,124.8,104.3,154.2,129.9
9/4/19,12,2019,1,1,109.6,120.5,103.9,150.9,127.3
9/4/19,13,2019,1,0,114.1,129.7,103.7,157.6,131.7
9/4/19,14,2019,1,0,113.2,125.8,103.2,145.5,131.3
9/4/19,15,2019,1,0,109.2,125,103.2,154.9,127.1
9/4/19,16,2019,1,0,109.8,127.4,103.4,157.4,127.7
9/4/19,17,2019,1,0,111.6,130,104.5,160.1,129.5
9/4/19,18,2019,1,0,111.5,123.4,106.7,154.5,129.4
9/4/19,19,2019,1,0,114.7,125.6,104.3,156.7,132.6
9/4/19,20,2019,1,0,114.6,124.7,109,155.2,132.5
9/4/19,21,2019,1,0,111.4,124.7,104.4,156.3,129.2
9/4/19,22,2019,1,0,109.7,122.3,104.5,151.7,127.4
9/4/19,23,2019,1,0,111.2,121.2,104.3,152.2,128.9
9/4/19,0,2019,1,0,110.2,130.1,102.8,160.3,128.1
9/7/19,1,2019,1,0,110.6,123.7,104.6,156.4,128.3
9/7/19,2,2019,1,0,108.5,122.2,104.7,153.6,126.2
9/7/19,3,2019,1,0,111.8,125.9,104.6,152.1,129.7
9/7/19,4,2019,1,0,108.8,121.9,104.5,153.3,126.7
