SPECIES,SOURCE,POPULATION,DATE SAMPLED,SAMPLE#,AGE_IN_YEARS 
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,30-Jun-11,CCS2011-023,0.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,12-Jul-11,CCS2011-041,0.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,8-Jun-09,CCS2009-033,1.3
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,12-Aug-10,CCS2010-086,1.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,14-Apr-11,CCS2011-002,2.2
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,13-Aug-11,CCS2011-065,2.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,31-Aug-11,CCS2011-080,3.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,4-Sep-09,CCS2009-087,3.6
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,27-Jun-11,CCS2011-032,4.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,21-Sep-11,CCS2011-082,4.6
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,29-Jul-08,CCS2008-044,5.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,4-Aug-08,CCS2008-047,5.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,25-Jul-07,CCS2007-053,6.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,4-Nov-08,CCS2008-108,6.7
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,24-Aug-08,CCS2008-084,7.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,9-Nov-07,CCS2007-108,7.7
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,9-Nov-07,CCS2007-110,7.7
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,26-Jul-08,CCS2008-038,8.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,27-Aug-07,CCS2007-091,8.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,24-May-07,CCS2007-009,10.3
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,13-Jul-07,CCS2007-049,10.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,20-Jun-11,CCS2011-021,11.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,10-Jul-11,CCS2011-026,11.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,2-May-11,CCS2011-003,13.2
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,21-Jul-07,CCS2007-051,13.4
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,28-Aug-09,CCS2009-086,14.5
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,24-May-07,CCS2007-010,16.3
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,24-May-07,CCS2007-019,17.3
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,24-May-07,CCS2007-008,18.3
HUMPBACK WHALE,"PCCS, JOOKE ROBBINS",GULF OF MAINE/NORTH ATLANTIC,24-May-07,CCS2007-014,20.3
