Date,Hour,Year,Whale,Boat
9/1/19,1,2019,1,0
9/1/19,2,2019,1,0
9/1/19,3,2019,1,0
9/1/19,4,2019,1,0
9/1/19,5,2019,1,0
9/1/19,6,2019,1,0
9/1/19,7,2019,1,0
9/1/19,8,2019,1,0
9/1/19,9,2019,1,0
9/1/19,10,2019,1,0
9/1/19,11,2019,1,0
9/1/19,12,2019,1,0
9/1/19,13,2019,1,0
9/1/19,14,2019,1,1
9/1/19,15,2019,1,0
9/1/19,16,2019,1,0
9/1/19,17,2019,1,0
9/1/19,18,2019,1,0
9/1/19,19,2019,1,0
9/1/19,20,2019,1,0
9/1/19,21,2019,1,0
9/1/19,22,2019,1,0
9/1/19,23,2019,1,0
9/1/19,0,2019,1,0
9/2/19,1,2019,1,0
9/2/19,2,2019,1,0
9/2/19,3,2019,1,0
9/2/19,4,2019,1,0
9/2/19,5,2019,1,0
9/2/19,6,2019,1,0
9/2/19,7,2019,1,0
9/2/19,8,2019,1,0
9/2/19,9,2019,1,1
9/2/19,10,2019,1,1
9/2/19,11,2019,1,0
9/2/19,12,2019,1,0
9/2/19,13,2019,1,1
9/2/19,14,2019,1,0
9/2/19,15,2019,1,0
9/2/19,16,2019,1,0
9/2/19,17,2019,1,0
9/2/19,18,2019,1,0
9/2/19,19,2019,1,0
9/2/19,20,2019,1,0
9/2/19,21,2019,1,0
9/2/19,22,2019,1,0
9/2/19,23,2019,1,0
9/2/19,0,2019,1,0
9/3/19,1,2019,1,0
9/3/19,2,2019,1,0
9/3/19,3,2019,1,0
9/3/19,4,2019,1,0
9/3/19,5,2019,1,0
9/3/19,6,2019,1,0
9/3/19,7,2019,1,0
9/3/19,8,2019,1,1
9/3/19,9,2019,1,1
9/3/19,10,2019,1,1
9/3/19,11,2019,1,0
9/3/19,12,2019,1,1
9/3/19,13,2019,1,0
9/3/19,14,2019,1,0
9/3/19,15,2019,1,0
9/3/19,16,2019,1,0
9/3/19,17,2019,1,0
9/3/19,18,2019,1,0
9/3/19,19,2019,1,0
9/3/19,20,2019,1,0
9/3/19,21,2019,1,0
9/3/19,22,2019,1,0
9/3/19,23,2019,1,0
9/3/19,0,2019,1,0
9/4/19,1,2019,1,0
9/4/19,2,2019,1,0
9/4/19,3,2019,1,0
9/4/19,4,2019,1,0
9/4/19,5,2019,1,0
9/4/19,6,2019,1,0
9/4/19,7,2019,1,0
9/4/19,8,2019,1,1
9/4/19,9,2019,1,0
9/4/19,10,2019,1,1
9/4/19,11,2019,1,1
9/4/19,12,2019,1,1
9/4/19,13,2019,1,0
9/4/19,14,2019,1,0
9/4/19,15,2019,1,0
9/4/19,16,2019,1,0
9/4/19,17,2019,1,0
9/4/19,18,2019,1,0
9/4/19,19,2019,1,0
9/4/19,20,2019,1,0
9/4/19,21,2019,1,0
9/4/19,22,2019,1,0
9/4/19,23,2019,1,0
9/4/19,0,2019,1,0
9/6/19,1,2019,1,0
9/6/19,2,2019,1,0
9/6/19,3,2019,1,0
9/6/19,4,2019,1,0
9/6/19,5,2019,1,0
9/6/19,6,2019,1,0
9/6/19,7,2019,1,0
9/6/19,8,2019,1,0
9/6/19,9,2019,1,0
9/6/19,10,2019,1,0
9/6/19,11,2019,1,1
9/6/19,12,2019,1,0
9/6/19,13,2019,1,1
9/6/19,14,2019,1,0
9/6/19,15,2019,1,0
9/6/19,16,2019,1,0
9/6/19,17,2019,1,0
9/6/19,18,2019,1,0
9/6/19,19,2019,1,0
9/6/19,20,2019,1,0
9/6/19,21,2019,1,0
9/6/19,22,2019,1,0
9/6/19,23,2019,1,0
9/6/19,0,2019,1,0
9/7/19,1,2019,1,0
9/7/19,2,2019,1,0
9/7/19,3,2019,1,0
9/7/19,4,2019,1,0
9/7/19,5,2019,1,0
9/7/19,6,2019,1,0
9/7/19,7,2019,1,0
9/7/19,8,2019,1,0
9/7/19,9,2019,1,0
9/7/19,10,2019,1,0
9/7/19,11,2019,1,1
9/7/19,12,2019,1,0
9/7/19,13,2019,1,0
9/7/19,14,2019,1,1
9/7/19,15,2019,1,1
9/7/19,16,2019,1,0
9/7/19,17,2019,1,0
9/7/19,18,2019,1,0
9/7/19,19,2019,1,0
9/7/19,20,2019,1,0
9/7/19,21,2019,1,0
9/7/19,22,2019,1,0
9/7/19,23,2019,1,0
9/7/19,0,2019,1,0
9/8/19,1,2019,1,0
9/8/19,2,2019,1,0
9/8/19,3,2019,1,0
9/8/19,4,2019,1,0
9/8/19,5,2019,1,0
9/8/19,6,2019,1,0
9/8/19,7,2019,1,0
9/8/19,8,2019,1,0
9/8/19,9,2019,1,0
9/8/19,10,2019,1,0
9/8/19,11,2019,1,0
9/8/19,12,2019,1,0
9/8/19,13,2019,1,0
9/8/19,14,2019,1,0
9/8/19,15,2019,1,0
9/8/19,16,2019,1,0
9/8/19,17,2019,1,0
9/8/19,18,2019,1,0
9/8/19,19,2019,1,0
9/8/19,20,2019,1,0
9/8/19,21,2019,1,0
9/8/19,22,2019,1,0
9/8/19,23,2019,1,0
9/8/19,0,2019,1,0
9/9/19,1,2019,1,0
9/9/19,2,2019,1,0
9/9/19,3,2019,1,0
9/9/19,4,2019,1,0
9/9/19,5,2019,1,0
9/9/19,6,2019,1,0
9/9/19,7,2019,1,0
9/9/19,8,2019,1,0
9/9/19,9,2019,1,0
9/9/19,10,2019,1,0
9/9/19,11,2019,1,0
9/9/19,12,2019,1,1
9/9/19,13,2019,1,0
9/9/19,14,2019,1,0
9/9/19,15,2019,1,0
9/9/19,16,2019,1,0
9/9/19,17,2019,1,1
9/9/19,18,2019,1,0
9/9/19,19,2019,1,0
9/9/19,20,2019,1,0
9/9/19,21,2019,1,0
9/9/19,22,2019,1,0
9/9/19,23,2019,1,0
9/9/19,0,2019,1,0
9/10/19,1,2019,1,0
9/10/19,2,2019,1,0
9/10/19,3,2019,1,0
9/10/19,4,2019,1,0
9/10/19,5,2019,1,0
9/10/19,6,2019,1,0
9/10/19,7,2019,1,0
9/10/19,8,2019,1,0
9/10/19,9,2019,1,0
9/10/19,10,2019,1,0
9/10/19,11,2019,1,1
9/10/19,12,2019,1,0
9/10/19,13,2019,1,1
9/10/19,14,2019,1,0
9/10/19,15,2019,1,0
9/10/19,16,2019,1,0
9/10/19,17,2019,1,0
9/10/19,18,2019,1,0
9/10/19,19,2019,1,0
9/10/19,20,2019,1,0
9/10/19,21,2019,1,0
9/10/19,22,2019,1,0
9/10/19,23,2019,1,0
9/10/19,0,2019,1,0
9/11/19,1,2019,1,0
9/11/19,2,2019,1,0
9/11/19,3,2019,1,0
9/11/19,4,2019,1,0
9/11/19,5,2019,1,0
9/11/19,6,2019,1,0
9/11/19,7,2019,1,0
9/11/19,8,2019,1,0
9/11/19,9,2019,0,1
9/11/19,10,2019,1,0
9/11/19,11,2019,1,0
9/11/19,12,2019,1,0
9/11/19,13,2019,1,0
9/11/19,14,2019,1,0
9/11/19,15,2019,1,0
9/11/19,16,2019,1,0
9/11/19,17,2019,1,0
9/11/19,18,2019,1,0
9/11/19,19,2019,1,0
9/11/19,20,2019,1,0
9/11/19,21,2019,0,0
9/11/19,22,2019,1,0
9/11/19,23,2019,1,0
9/12/19,0,2019,1,0
9/12/19,1,2019,1,0
9/12/19,2,2019,1,0
9/12/19,3,2019,1,0
9/12/19,4,2019,1,0
9/12/19,5,2019,1,0
9/12/19,6,2019,1,0
9/12/19,7,2019,1,0
9/12/19,8,2019,1,1
9/12/19,9,2019,1,0
9/12/19,10,2019,1,1
9/12/19,11,2019,1,0
9/12/19,12,2019,1,0
9/12/19,13,2019,1,1
9/12/19,14,2019,1,0
9/12/19,15,2019,1,1
9/12/19,16,2019,1,0
9/12/19,17,2019,1,0
9/12/19,18,2019,1,0
9/12/19,19,2019,1,0
9/12/19,20,2019,1,0
9/12/19,21,2019,1,0
9/12/19,22,2019,1,0
9/12/19,23,2019,1,0
9/13/19,0,2019,1,0
9/13/19,1,2019,1,0
9/13/19,2,2019,1,0
9/13/19,3,2019,1,0
9/13/19,4,2019,1,0
9/13/19,5,2019,1,0
9/13/19,6,2019,1,0
9/13/19,7,2019,1,0
9/13/19,8,2019,1,0
9/13/19,9,2019,1,0
9/13/19,10,2019,1,1
9/13/19,11,2019,1,1
9/13/19,12,2019,1,0
9/13/19,13,2019,1,0
9/13/19,14,2019,1,0
9/13/19,15,2019,1,0
9/13/19,16,2019,1,0
9/13/19,17,2019,1,0
9/13/19,18,2019,1,0
9/13/19,19,2019,1,0
9/13/19,20,2019,1,0
9/13/19,21,2019,1,0
9/13/19,22,2019,1,0
9/13/19,23,2019,1,0
9/14/19,0,2019,1,0
9/14/19,1,2019,1,0
9/14/19,2,2019,1,0
9/14/19,3,2019,1,0
9/14/19,4,2019,1,0
9/14/19,5,2019,1,0
9/14/19,6,2019,1,0
9/14/19,7,2019,1,0
9/14/19,8,2019,1,0
9/14/19,9,2019,1,1
9/14/19,10,2019,1,1
9/14/19,11,2019,1,0
9/14/19,12,2019,1,1
9/14/19,13,2019,1,1
9/14/19,14,2019,1,1
9/14/19,15,2019,1,0
9/14/19,16,2019,1,0
9/14/19,17,2019,1,0
9/14/19,18,2019,1,0
9/14/19,19,2019,1,0
9/14/19,20,2019,1,0
9/14/19,21,2019,1,0
9/14/19,22,2019,1,0
9/14/19,23,2019,1,0
9/15/19,0,2019,1,0
9/15/19,1,2019,1,0
9/15/19,2,2019,1,0
9/15/19,3,2019,1,0
9/15/19,4,2019,1,0
9/15/19,5,2019,1,0
9/15/19,6,2019,1,0
9/15/19,7,2019,1,0
9/15/19,8,2019,1,0
9/15/19,9,2019,1,1
9/15/19,10,2019,1,1
9/15/19,11,2019,1,0
9/15/19,12,2019,1,0
9/15/19,13,2019,1,0
9/15/19,14,2019,1,0
9/15/19,15,2019,1,0
9/15/19,16,2019,1,0
9/15/19,17,2019,1,0
9/15/19,18,2019,1,0
9/15/19,19,2019,1,0
9/15/19,20,2019,1,0
9/15/19,21,2019,1,0
9/15/19,22,2019,1,0
9/15/19,23,2019,1,0
9/16/19,0,2019,1,0
9/16/19,1,2019,1,0
9/16/19,2,2019,1,0
9/16/19,3,2019,1,0
9/16/19,4,2019,1,0
9/16/19,5,2019,1,0
9/16/19,6,2019,1,0
9/16/19,7,2019,1,0
9/16/19,8,2019,1,0
9/16/19,9,2019,1,0
9/16/19,10,2019,1,0
9/16/19,11,2019,1,0
9/16/19,12,2019,1,0
9/16/19,13,2019,1,0
9/16/19,14,2019,1,1
9/16/19,15,2019,1,1
9/16/19,16,2019,1,1
9/16/19,17,2019,1,0
9/16/19,18,2019,1,0
9/16/19,19,2019,1,1
9/16/19,20,2019,1,0
9/16/19,21,2019,1,0
9/16/19,22,2019,1,0
9/16/19,23,2019,1,0
9/17/19,0,2019,1,0
9/17/19,1,2019,1,0
9/17/19,2,2019,1,0
9/17/19,3,2019,1,0
9/17/19,4,2019,1,0
9/17/19,5,2019,1,0
9/17/19,6,2019,1,0
9/17/19,7,2019,1,0
9/17/19,8,2019,1,0
9/17/19,9,2019,1,1
9/17/19,10,2019,1,0
9/17/19,11,2019,1,0
9/17/19,12,2019,1,0
9/17/19,13,2019,1,0
9/17/19,14,2019,1,0
9/17/19,15,2019,1,0
9/17/19,16,2019,1,0
9/17/19,17,2019,1,0
9/17/19,18,2019,1,0
9/17/19,19,2019,1,0
9/17/19,20,2019,1,0
9/17/19,21,2019,1,0
9/17/19,22,2019,1,0
9/17/19,23,2019,1,0
